Variable;Código;Etiqueta
Edadif;18;18
Edadif;19;19
Edadif;20;20
Edadif;21;21
Edadif;22;22
Edadif;23;23
Edadif;24;24
Edadif;25;25
Edadif;26;26
Edadif;27;27
Edadif;28;28
Edadif;29;29
Edadif;30;30
Edadif;31;31
Edadif;32;32
Edadif;33;33
Edadif;34;34
Edadif;35;35
Edadif;36;36
Edadif;37;37
Edadif;38;38
Edadif;39;39
Edadif;40;40
Edadif;41;41
Edadif;42;42
Edadif;43;43
Edadif;44;44
Edadif;45;45
Edadif;46;46
Edadif;47;47
Edadif;48;48
Edadif;49;49
Edadif;50;50
Edadif;51;51
Edadif;52;52
Edadif;53;53
Edadif;54;54
Edadif;55;55
Edadif;56;56
Edadif;57;57
Edadif;58;58
Edadif;59;59
Edadif;60;60
Edadif;61;61
Edadif;62;62
Edadif;63;63
Edadif;64;64
Edadif;65;65
Edadif;66;66
Edadif;67;67
Edadif;68;68
Edadif;69;69
Edadif;70;70
Edadif;71;71
Edadif;72;72
Edadif;73;73
Edadif;74;74
Edadif;75;75
Edadif;76;76
Edadif;77;77
Edadif;78;78
Edadif;79;79
Edadif;80;80
Edadif;81;81
Edadif;82;82
Edadif;83;83
Edadif;84;84
Edadif;85;85
Edadif;86;86
Edadif;87;87
Edadif;88;88
Edadif;89;89
Edadif;90;90
Edadif;91;91
Edadif;92;92
Edadif;93;93
Edadif;94;94
Edadif;95;95
Edadif;96;96
Edadif;97;97
Edadif;98;98
Edadif;99;99
Edadif;100;100
Edadif;101;101
Edadif;102;102
Edadif;103;103
Edadif;104;104
Edadif;105;105
Edadif;106;106
Edadif;107;107
Edadif;108;108
Edadif;109;109
Edadif;111;111
Edadif;112;112
Edadif;118;118
Edadif;999;Ignorado
Perdif;1;Menos de un mes
Perdif;2;1 a 11 meses
Perdif;3;1 año y más
Perdif;9;Ignorado
Getdif;1;Indígena
Getdif;2;No indígena
